kf, avgmse, stdmse, avgmae, stdmae, avgmape, stdmape, avgr2, stdr2, avgacc, stdacc, avgbal_acc, stdbal_acc
1,0.0008552098706721791,0.0004763168376543069,0.021266348163201918,0.006393762249583898,0.03078668052973942,0.009225393750397723,0.46597055398157855,0.2974325082822629,0.6799999999999999,0.09797958971132717,0.7333333333333333,0.08164965809277264
2,0.0025876432110792974,0.0010528509465222015,0.040864458151849394,0.010798799770616862,0.0591195795048729,0.016726040099856142,0.30207498804620936,0.28396921426063987,0.52,0.0979795897113271,0.5666666666666667,0.13333333333333333
3,0.0009499774430053344,0.0003727462245602814,0.025122488972998035,0.005722354447833497,0.03719236997867392,0.008190148800480284,0.3715383529250428,0.2465918616836157,0.52,0.24000000000000002,0.5000000000000001,0.2788866755113586
4,0.0006035433611252725,0.00016287596250042264,0.022368240130866697,0.0035555550253468177,0.033140997983278395,0.005257390172977691,0.7951403581488086,0.05528469616796764,0.52,0.16,0.6,0.13333333333333336
5,0.0005717705705692263,0.00016799952691621007,0.01917558858161623,0.002927245903056234,0.028216361326235402,0.004561281096288104,0.6777568976228556,0.09468253795832184,0.6000000000000001,0.1264911064067352,0.6333333333333333,0.12472191289246473
6,0.0013091364188444234,0.0004754021160230982,0.030406542617413324,0.00493970652106828,0.04418892367512296,0.007089245509680265,0.16118913303324042,0.3046072627413146,0.44000000000000006,0.14966629547095764,0.4666666666666667,0.1632993161855452
7,0.0016311437912905815,0.0004133670125081269,0.033511749419941415,0.005113777108760456,0.05134841202014943,0.007963664338493073,-0.31082948485514894,0.3321924596441731,0.48,0.09797958971132711,0.5666666666666667,0.08164965809277258
8,0.001171353176723982,0.00040647225281243533,0.02471756768886838,0.0018545765059233689,0.035600593803598854,0.0022748161037867204,0.4522244546822036,0.19008405352483343,0.64,0.08000000000000003,0.5333333333333333,0.06666666666666667
